고객번호,식료품구매횟수,식료품1,식료품2,식료품3,식료품4,식료품5,식료품6,식료품7
1,434.0,635666.0,811625.0,828210.0,1284223.0,1391110.0,893878.0,568276.0
2,587.0,2455558.0,2030956.0,1652569.0,1511411.0,1874481.0,965639.0,1319363.0
3,1.0,0.0,0.0,2214.0,0.0,0.0,0.0,0.0
4,435.0,532084.0,634808.0,375166.0,209117.0,715301.0,629533.0,554840.0
6,904.0,771569.0,822284.0,1261397.0,677128.0,1143224.0,543104.0,1617846.0
7,333.0,510994.0,355292.0,534352.0,509231.0,723876.0,678168.0,694219.0
8,1320.0,1472555.0,2087888.0,2969761.0,1516860.0,2372994.0,2766622.0,2859997.0
9,152.0,116120.0,188927.0,284576.0,246648.0,197075.0,650269.0,1215258.0
10,424.0,33065.0,23692.0,437100.0,505810.0,505728.0,355595.0,358495.0
11,365.0,1672191.0,660694.0,1632920.0,659975.0,945308.0,521026.0,1944422.0
12,335.0,353778.0,129872.0,164037.0,111056.0,223974.0,596472.0,317459.0
13,2064.0,1150106.0,1282168.0,1228326.0,1459599.0,1580241.0,1851663.0,1942673.0
14,376.0,793761.0,1160332.0,527087.0,604123.0,556086.0,757953.0,563960.0
15,627.0,818118.0,477152.0,824322.0,568461.0,466716.0,632192.0,712513.0
16,438.0,587246.0,468996.0,902854.0,966209.0,1445729.0,921903.0,650539.0
17,311.0,20361612.0,334450.0,540962.0,1222568.0,410296.0,12465636.0,8651125.0
18,264.0,567678.0,660518.0,800498.0,276291.0,251848.0,373742.0,410422.0
19,366.0,2785103.0,1761400.0,1084853.0,1587234.0,1471564.0,2177652.0,2260510.0
20,749.0,1705800.0,1657697.0,1918215.0,1390015.0,1868404.0,1345669.0,1339896.0
21,1451.0,1279066.0,1484950.0,2453871.0,1516927.0,1359814.0,1996612.0,2198573.0
22,212.0,378094.0,399500.0,160342.0,298394.0,527210.0,527593.0,595056.0
23,332.0,931251.0,731734.0,1585609.0,785259.0,2054382.0,470295.0,267659.0
24,526.0,473829.0,566527.0,818306.0,517390.0,434081.0,371145.0,699704.0
25,133.0,70654.0,126607.0,284610.0,193535.0,231704.0,105366.0,268999.0
26,448.0,1206761.0,786705.0,882751.0,420373.0,685609.0,1472200.0,1175464.0
27,385.0,576964.0,814806.0,863218.0,469073.0,626963.0,788214.0,1674137.0
28,1141.0,655293.0,979267.0,671923.0,794475.0,460826.0,1115643.0,933222.0
29,254.0,303247.0,167391.0,294481.0,374029.0,483340.0,299225.0,348010.0
30,556.0,1113962.0,1514616.0,1705052.0,1334727.0,1059960.0,1800902.0,1322700.0
31,511.0,574570.0,587145.0,516999.0,457813.0,692913.0,840818.0,910786.0
32,1053.0,780344.0,1204050.0,1925930.0,1278378.0,1530981.0,1366628.0,1624690.0
33,1586.0,887909.0,1002312.0,1080472.0,764217.0,999466.0,968911.0,1380884.0
34,677.0,880152.0,1560085.0,1073515.0,1817796.0,1026979.0,413515.0,444644.0
35,589.0,1077209.0,1346961.0,828595.0,749724.0,1502046.0,3573450.0,1789474.0
36,493.0,605851.0,1361216.0,487496.0,481842.0,906267.0,916519.0,1200867.0
37,577.0,377494.0,828714.0,1211796.0,1128224.0,933122.0,765723.0,1000607.0
38,1232.0,1011048.0,1074667.0,1535852.0,1158486.0,1184463.0,919094.0,1652175.0
39,309.0,410175.0,732423.0,460779.0,706665.0,472023.0,782159.0,465051.0
